"","state.county","date","cases","deaths","per1k","days_since_case100","days_since_death10"
"1016","Maryland-St. Mary's",2020-04-06,41,0,0.361201656241741,0,0
"1017","Maryland-Talbot",2020-04-06,8,1,0.215163658858019,0,0
"1018","Maryland-Washington",2020-04-06,37,0,0.244953624320585,0,0
"1019","Maryland-Wicomico",2020-04-06,11,1,0.106168383055526,0,0
"1020","Maryland-Worcester",2020-04-06,10,0,0.191292371260234,0,0
"1021","Massachusetts-Barnstable",2020-04-06,383,7,1.79820648856754,11,0
"1022","Massachusetts-Berkshire",2020-04-06,268,13,2.14496094250224,11,3
"1023","Massachusetts-Bristol",2020-04-06,722,8,1.27738549972842,11,0
"1024","Massachusetts-Dukes",2020-04-06,8,0,0.461573967228248,0,0
"1025","Massachusetts-Essex",2020-04-06,1653,30,2.0949667568191,14,7
"1026","Massachusetts-Franklin",2020-04-06,107,13,1.52465089769165,2,4
"1027","Massachusetts-Hampden",2020-04-06,889,39,1.90620363143585,10,8
"1028","Massachusetts-Hampshire",2020-04-06,147,2,0.914008580488715,5,0
"1029","Massachusetts-Middlesex",2020-04-06,2950,48,1.83036658830216,20,7
"1030","Massachusetts-Nantucket",2020-04-06,9,0,0.789542942363365,0,0
"1031","Massachusetts-Norfolk",2020-04-06,1382,29,1.95536061688656,14,8
"1032","Massachusetts-Plymouth",2020-04-06,1067,14,2.04719091638175,13,2
"1033","Massachusetts-Suffolk",2020-04-06,2929,32,3.64345627043924,17,6
"1034","Massachusetts-Unknown",2020-04-06,246,7,0.0356909529092697,13,0
"1035","Massachusetts-Worcester",2020-04-06,1077,18,1.29661867853247,13,5
"1036","Michigan-Allegan",2020-04-06,15,0,0.127031444516899,0,0
"1037","Michigan-Antrim",2020-04-06,5,0,0.214371462870863,0,0
"1038","Michigan-Arenac",2020-04-06,3,0,0.201572263656521,0,0
"1039","Michigan-Barry",2020-04-06,7,0,0.113728675873274,0,0
"1040","Michigan-Bay",2020-04-06,30,0,0.290906269999806,0,0
"1041","Michigan-Berrien",2020-04-06,60,2,0.39113173968879,0,0
"1042","Michigan-Branch",2020-04-06,15,1,0.344692878645127,0,0
"1043","Michigan-Calhoun",2020-04-06,41,1,0.305607525398967,0,0
"1044","Michigan-Cass",2020-04-06,7,1,0.135169057871667,0,0
"1045","Michigan-Charlevoix",2020-04-06,8,0,0.306009256780018,0,0
"1046","Michigan-Cheboygan",2020-04-06,8,1,0.316505776230416,0,0
"1047","Michigan-Chippewa",2020-04-06,1,0,0.0267744785670299,0,0
"1048","Michigan-Clare",2020-04-06,3,0,0.0969305331179321,0,0
"1049","Michigan-Clinton",2020-04-06,56,1,0.70356178151894,0,0
"1050","Michigan-Crawford",2020-04-06,2,0,0.14256183619645,0,0
"1051","Michigan-Delta",2020-04-06,7,0,0.195618153364632,0,0
"1052","Michigan-Dickinson",2020-04-06,2,1,0.0792424422520702,0,0
"1053","Michigan-Eaton",2020-04-06,57,2,0.516922407226031,0,0
"1054","Michigan-Emmet",2020-04-06,13,2,0.389046835253629,0,0
"1055","Michigan-Genesee",2020-04-06,568,26,1.39965944905659,10,5
"1056","Michigan-Gladwin",2020-04-06,4,0,0.157177099296632,0,0
"1057","Michigan-Gogebic",2020-04-06,3,1,0.214669051878354,0,0
"1058","Michigan-Grand Traverse",2020-04-06,14,3,0.150395324853902,0,0
"1059","Michigan-Gratiot",2020-04-06,5,0,0.122816929085505,0,0
"1060","Michigan-Hillsdale",2020-04-06,46,3,1.00866133099441,0,0
"1061","Michigan-Houghton",2020-04-06,1,0,0.0280237641520009,0,0
"1062","Michigan-Huron",2020-04-06,4,0,0.129111390852458,0,0
"1063","Michigan-Ingham",2020-04-06,178,1,0.608742638659945,6,0
"1064","Michigan-Ionia",2020-04-06,8,0,0.123653337867289,0,0
"1065","Michigan-Iosco",2020-04-06,3,1,0.119393481115931,0,0
"1066","Michigan-Isabella",2020-04-06,16,2,0.228990153423403,0,0
"1067","Michigan-Jackson",2020-04-06,103,4,0.649801274367548,1,0
"1068","Michigan-Kalamazoo",2020-04-06,58,3,0.218813427599164,0,0
"1069","Michigan-Kalkaska",2020-04-06,8,2,0.443508149462246,0,0
"1070","Michigan-Kent",2020-04-06,177,5,0.26942484645067,7,0
"1071","Michigan-Lapeer",2020-04-06,49,0,0.559316036389786,0,0
"1072","Michigan-Leelanau",2020-04-06,2,0,0.0919075410137402,0,0
"1073","Michigan-Lenawee",2020-04-06,32,0,0.325034788879747,0,0
"1074","Michigan-Livingston",2020-04-06,143,2,0.744811062788093,6,0
"1075","Michigan-Luce",2020-04-06,1,0,0.160539412425751,0,0
"1076","Michigan-Mackinac",2020-04-06,2,0,0.185202333549403,0,0
"1077","Michigan-Macomb",2020-04-06,2159,100,2.47033085728147,17,12
"1078","Michigan-Manistee",2020-04-06,6,0,0.244319569997557,0,0
"1079","Michigan-Marquette",2020-04-06,15,2,0.224890927899969,0,0
"1080","Michigan-Mecosta",2020-04-06,6,1,0.138080224610499,0,0
"1081","Michigan-Midland",2020-04-06,22,0,0.264562990042811,0,0
"1082","Michigan-Missaukee",2020-04-06,1,1,0.0661463156502183,0,0
"1083","Michigan-Monroe",2020-04-06,117,0,0.777408637873754,3,0
"1084","Michigan-Montcalm",2020-04-06,15,0,0.234785875281743,0,0
"1085","Michigan-Muskegon",2020-04-06,33,4,0.190129403224134,0,0
"1086","Michigan-Newaygo",2020-04-06,2,0,0.0408329930583912,0,0
"1087","Michigan-Oakland",2020-04-06,3380,185,2.68769322764921,19,13
"1088","Michigan-Oceana",2020-04-06,3,0,0.113348698379114,0,0
"1089","Michigan-Ogemaw",2020-04-06,3,0,0.142877553936277,0,0
"1090","Michigan-Ontonagon",2020-04-06,1,0,0.174825174825175,0,0
"1091","Michigan-Osceola",2020-04-06,3,0,0.127877237851662,0,0
"1092","Michigan-Oscoda",2020-04-06,2,0,0.24268899405412,0,0
"1093","Michigan-Otsego",2020-04-06,26,2,1.05399708123885,0,0
"1094","Michigan-Ottawa",2020-04-06,44,0,0.150772710139465,0,0
"1095","Michigan-Presque Isle",2020-04-06,1,0,0.079415501905972,0,0
"1096","Michigan-Roscommon",2020-04-06,5,0,0.208168533244515,0,0
"1097","Michigan-Saginaw",2020-04-06,139,2,0.729509444260755,3,0
"1098","Michigan-Sanilac",2020-04-06,14,2,0.340053436968667,0,0
"1099","Michigan-Shiawassee",2020-04-06,24,0,0.352309092510496,0,0
"1100","Michigan-St. Clair",2020-04-06,110,3,0.691267407370167,1,0
"1101","Michigan-St. Joseph",2020-04-06,11,0,0.180434354701135,0,0
"1102","Michigan-Tuscola",2020-04-06,22,2,0.421092927552876,0,0
"1103","Michigan-Unknown",2020-04-06,367,1,0.0367482982884405,6,0
"1104","Michigan-Van Buren",2020-04-06,16,1,0.21142487149332,0,0
"1105","Michigan-Washtenaw",2020-04-06,543,10,1.47714505673271,11,1
"1106","Michigan-Wayne",2020-04-06,8270,346,4.72748912020113,19,14
"1107","Michigan-Wexford",2020-04-06,5,0,0.148672355862151,0,0
"1108","Minnesota-Anoka",2020-04-06,40,0,0.112069617646482,0,0
"1109","Minnesota-Beltrami",2020-04-06,6,0,0.127150970585742,0,0
"1110","Minnesota-Benton",2020-04-06,1,0,0.0244564552813715,0,0
"1111","Minnesota-Big Stone",2020-04-06,1,0,0.200360649168503,0,0
"1112","Minnesota-Blue Earth",2020-04-06,16,0,0.236500968175838,0,0
"1113","Minnesota-Brown",2020-04-06,5,0,0.199936020473448,0,0
"1114","Minnesota-Carlton",2020-04-06,10,0,0.27877672771877,0,0
"1115","Minnesota-Carver",2020-04-06,10,0,0.0951574379811398,0,0
"1116","Minnesota-Cass",2020-04-06,1,0,0.0335807112394641,0,0
"1117","Minnesota-Chisago",2020-04-06,5,1,0.0883720108167341,0,0
"1118","Minnesota-Clay",2020-04-06,19,0,0.295848774563234,0,0
"1119","Minnesota-Clearwater",2020-04-06,2,0,0.226808800181447,0,0
"1120","Minnesota-Cottonwood",2020-04-06,5,0,0.446588067166845,0,0
"1121","Minnesota-Crow Wing",2020-04-06,6,0,0.0922296518330643,0,0
"1122","Minnesota-Dakota",2020-04-06,67,2,0.156169511515753,0,0
"1123","Minnesota-Dodge",2020-04-06,10,0,0.477691793254992,0,0
"1124","Minnesota-Douglas",2020-04-06,1,0,0.0262185050208437,0,0
"1125","Minnesota-Faribault",2020-04-06,3,0,0.219731927049,0,0
"1126","Minnesota-Fillmore",2020-04-06,10,0,0.474676033607063,0,0
"1127","Minnesota-Freeborn",2020-04-06,11,0,0.363264092995608,0,0
"1128","Minnesota-Goodhue",2020-04-06,10,0,0.215796288303841,0,0
"1129","Minnesota-Hennepin",2020-04-06,280,14,0.221196467492414,14,2
"1130","Minnesota-Houston",2020-04-06,1,0,0.0537634408602151,0,0
"1131","Minnesota-Isanti",2020-04-06,4,0,0.0985318750615824,0,0
"1132","Minnesota-Itasca",2020-04-06,2,0,0.0443164192333259,0,0
"1133","Minnesota-Jackson",2020-04-06,1,0,0.101564086938858,0,0
"1134","Minnesota-Kandiyohi",2020-04-06,2,0,0.0462973679946295,0,0
"1135","Minnesota-Koochiching",2020-04-06,1,0,0.0817728350641917,0,0
"1136","Minnesota-Lac qui Parle",2020-04-06,1,0,0.15098897780462,0,0
"1137","Minnesota-Le Sueur",2020-04-06,20,0,0.692352961539793,0,0
"1138","Minnesota-Lincoln",2020-04-06,2,0,0.354672814328782,0,0
"1139","Minnesota-Lyon",2020-04-06,4,0,0.157022846824213,0,0
"1140","Minnesota-Mahnomen",2020-04-06,1,0,0.180929980097702,0,0
"1141","Minnesota-Martin",2020-04-06,33,4,1.6765736930346,0,0
"1142","Minnesota-McLeod",2020-04-06,1,0,0.0278605856295099,0,0
"1143","Minnesota-Meeker",2020-04-06,1,0,0.0430626130393592,0,0
"1144","Minnesota-Mower",2020-04-06,17,0,0.424342269482302,0,0
"1145","Minnesota-Murray",2020-04-06,1,0,0.122040517451794,0,0
"1146","Minnesota-Nicollet",2020-04-06,4,0,0.116706541401646,0,0
"1147","Minnesota-Olmsted",2020-04-06,96,2,0.60647027979759,0,0
"1148","Minnesota-Otter Tail",2020-04-06,2,0,0.0340448711401627,0,0
"1149","Minnesota-Pipestone",2020-04-06,1,0,0.109577032653956,0,0
"1150","Minnesota-Polk",2020-04-06,1,0,0.0318836883050631,0,0
"1151","Minnesota-Ramsey",2020-04-06,96,3,0.174443642892058,0,0
"1152","Minnesota-Redwood",2020-04-06,1,0,0.0659195781147001,0,0
"1153","Minnesota-Renville",2020-04-06,2,0,0.137475941710201,0,0
"1154","Minnesota-Rice",2020-04-06,4,0,0.0597264528459655,0,0
"1155","Minnesota-Scott",2020-04-06,15,1,0.100662358317731,0,0
"1156","Minnesota-Sherburne",2020-04-06,10,0,0.102840453320718,0,0
"1157","Minnesota-Sibley",2020-04-06,1,0,0.067272115708039,0,0
