"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"2952","Jamaica",2020-04-07,77,63,5,3,0,8,0,52,2.1,0.2,1.8,0,0
"2992","Japan",2020-04-07,77,3906,252,92,7,592,17,3222,3.1,0.2,2.5,47,30
"3065","Jordan",2020-04-07,77,353,4,6,0,138,12,209,3.5,0,2,17,0
"3095","Kazakhstan",2020-04-07,77,697,35,6,0,51,5,640,3.7,0.2,3.4,13,0
"3126","Kenya",2020-04-07,77,172,14,6,0,7,3,159,0.3,0,0.3,6,0
"3142","Kosovo",2020-04-07,77,170,25,4,3,24,1,142,9.4,1.4,7.9,8,0
"3176","Kuwait",2020-04-07,77,743,78,1,0,105,2,637,17.4,1.8,14.9,25,0
"3207","Kyrgyzstan",2020-04-07,77,228,12,4,0,33,0,191,3.5,0.2,2.9,8,0
"3222","Lao People's Democratic Republic",2020-04-07,77,14,2,0,0,0,0,14,0.2,0,0.2,0,0
"3245","Latvia",2020-04-07,77,548,6,2,1,16,0,530,29.1,0.3,28.1,19,0
"3302","Lebanon",2020-04-07,77,548,7,19,0,62,2,467,8,0.1,6.8,24,10
"3333","Liberia",2020-04-07,77,14,0,3,0,3,0,8,0.3,0,0.2,0,0
"3342","Libya",2020-04-07,77,20,1,1,0,1,0,18,0.3,0,0.3,0,0
"3360","Liechtenstein",2020-04-07,77,78,1,1,0,55,0,22,205.3,2.6,57.9,0,0
"3428","Lithuania",2020-04-07,77,880,37,15,0,8,0,857,32.3,1.4,31.5,17,4
"3458","Luxembourg",2020-04-07,77,2970,127,44,3,500,0,2426,474.4,20.3,387.5,22,12
"3510","Macao",2020-04-07,77,44,0,0,0,10,0,34,6.8,0,5.2,0,0
"3558","Madagascar",2020-04-07,77,88,6,0,0,7,5,81,0.3,0,0.3,0,0
"3626","Mainland China",2020-04-07,77,81739,32,3331,0,77184,100,1224,5.7,0,0.1,77,77
"3644","Malawi",2020-04-07,77,8,3,1,1,0,0,7,0,0,0,0,0
"3671","Malaysia",2020-04-07,77,3963,170,63,1,1321,80,2579,12.2,0.5,8,30,17
"3728","Maldives",2020-04-07,77,19,0,0,0,13,0,6,3.5,0,1.1,0,0
"3765","Mali",2020-04-07,77,56,9,5,0,12,3,39,0.3,0,0.2,0,0
"3792","Malta",2020-04-07,77,293,52,0,0,5,0,288,66.3,11.8,65.2,16,0
"3820","Mauritania",2020-04-07,77,6,0,1,0,2,0,3,0.1,0,0.1,0,0
"3829","Mauritius",2020-04-07,77,268,24,7,0,8,1,253,21.1,1.9,19.9,11,0
"3859","Mexico",2020-04-07,77,2439,296,125,31,633,0,1681,1.9,0.2,1.3,20,11
"3901","Moldova, Republic of",2020-04-07,77,1056,91,22,3,40,3,994,26.2,2.3,24.6,16,4
"3939","Monaco",2020-04-07,77,79,2,1,0,4,0,74,202.6,5.1,189.7,0,0
"3960","Mongolia",2020-04-07,77,15,0,0,0,4,2,11,0.5,0,0.3,0,0
"3991","Montenegro",2020-04-07,77,241,8,2,0,4,3,235,38.4,1.3,37.4,8,0
"4017","Morocco",2020-04-07,77,1184,64,90,10,93,12,1001,3.2,0.2,2.7,17,13
"4046","Mozambique",2020-04-07,77,10,0,0,0,1,0,9,0,0,0,0,0
"4071","MS Zaandam Cruise Ship",2020-04-07,77,9,0,2,0,0,0,7,NA,NA,NA,0,0
"4088","Namibia",2020-04-07,77,16,0,0,0,3,0,13,0.6,0,0.5,0,0
"4126","Nepal",2020-04-07,77,9,0,0,0,1,0,8,0,0,0,0,0
"4210","Netherlands",2020-04-07,77,19709,783,2108,234,272,14,17329,115,4.6,101.1,33,26
"4219","New Zealand",2020-04-07,77,1160,54,1,0,241,65,918,24.1,1.1,19,17,0
"4269","Nicaragua",2020-04-07,77,6,0,1,0,0,0,5,0.1,0,0.1,0,0
"4281","Niger",2020-04-07,77,278,25,11,1,26,0,241,1.1,0.1,1,5,3
"4303","Nigeria",2020-04-07,77,254,16,6,1,44,9,204,0.1,0,0.1,10,0
"4370","North Macedonia",2020-04-07,77,599,29,26,3,30,0,543,28.8,1.4,26.1,17,7
"4384","Norway",2020-04-07,77,6086,221,89,13,32,0,5965,112.3,4.1,110,33,16
